Equipo,Liga
ADO Den Haag,Dutch Eredivisie
Académico de Viseu F.C.,Primeira Liga
Akritas,Cypriot First Division
Al Kholood,Saudi-Arabian Pro League
Al Shabab,Palestinian West Bank Premier League
Albacete,Primera Federación (1ª RFEF)
Alcorcón,Primera Federación (1ª RFEF)
Algeciras,Primera Federación (1ª RFEF)
Almería,LaLiga 2 (España)
Alverca,Primeira Liga
Antequera,Primera Federación (1ª RFEF)
Antoniano,Segunda Federación (2ª RFEF)
Arenas Club,Primera Federación (1ª RFEF)
Arenteiro,Primera Federación (1ª RFEF)
Asteras Tripolis II,Greek Super League 2
Athletic Bilbao,Primera Federación (1ª RFEF)
Athletic Bilbao U19,Categoría juvenil (no liga senior)
Athletic Bilbao U21,Categoría juvenil (no liga senior)
Athletic Club,LaLiga (España)
Atlético Baleares,Primera Federación (1ª RFEF)
Atlético Madrid B,Primera Federación (1ª RFEF)
Atlético Morelia,Mexican Liga de Expansión MX
Atlético Sanluqueño,Primera Federación (1ª RFEF)
Austin FC II,MLS Next Pro
Bani Yas,Desconocida
Barakaldo,Primera Federación (1ª RFEF)
Barbastro,Segunda Federación (2ª RFEF)
Barcelona,LaLiga (España)
Barcelona Atlètic,Primera Federación (1ª RFEF)
Bayern München,Bundesliga (Alemania)
Betis Deportivo,Primera Federación (1ª RFEF)
Birmingham City,English League Championship
Brusque,Brazilian Serie C
Burgos,LaLiga 2 (España)
CD Calahorra,Primera Federación (1ª RFEF)
CD Coria,Primera Federación (1ª RFEF)
CE Atletic Lleida 2019,Desconocida
Cacereño,Primera Federación (1ª RFEF)
Cartagena,Primera Federación (1ª RFEF)
Casa Pia AC,Primeira Liga
Castellón,Primera Federación (1ª RFEF)
Celje,Slovenian 1. SNL
Celta Fortuna,Primera Federación (1ª RFEF)
Celta de Vigo,LaLiga (España)
Ceuta,Primera Federación (1ª RFEF)
Chelsea,English Premier League
Cherno More,Bulgarian First League
Club Deportivo Canillas,Desconocida
Como,Italian Serie A
Cuiabá,Brazilian Serie B
Cultural Leonesa,Primera Federación (1ª RFEF)
Cádiz,LaLiga 2 (España)
Córdoba,Primera Federación (1ª RFEF)
DAC,Moldovan National Division
Deportivo La Coruña,Primera Federación (1ª RFEF)
Eibar,LaLiga 2 (España)
Elche,LaLiga (España)
Eldense,Primera Federación (1ª RFEF)
Epitsentr Kamyanets-Podilskyi,Desconocida
Espanyol,LaLiga (España)
Espanyol B,Segunda Federación (2ª RFEF)
Estrela Amadora,Primeira Liga
Europa,Primera Federación (1ª RFEF)
FC Andorra,Primera Federación (1ª RFEF)
Famalicão,Primeira Liga
Feirense,LigaPro
Gimnàstic Tarragona,Primera Federación (1ª RFEF)
Gimnástica Segoviana,Primera Federación (1ª RFEF)
Granada,LaLiga 2 (España)
Guadalajara,Primera Federación (1ª RFEF)
Huesca,Primera Federación (1ª RFEF)
Hércules,Primera Federación (1ª RFEF)
Ibiza,Primera Federación (1ª RFEF)
Juventud Torremolinos,Primera Federación (1ª RFEF)
Karpaty,Ukrainian Premier League
Khemis Zemamra,Desconocida
Korona Kielce,Polish Ekstraklasa
Kortrijk,Belgian Pro League
Las Palmas,LaLiga 2 (España)
Las Palmas Atlético,Segunda Federación (2ª RFEF)
Lausanne Sport,Swiss Super League
Leganés,LaLiga 2 (España)
Levante,LaLiga (España)
Linares Deportivo,Primera Federación (1ª RFEF)
Lorca Deportiva,Segunda Federación (2ª RFEF)
Lugo,Primera Federación (1ª RFEF)
Lusail City,Desconocida
Mafra,Portugal Liga 3
Mallorca,LaLiga (España)
Manfredonia,Italy Serie D Girone H
Marbella,Primera Federación (1ª RFEF)
Marbellí,Tercera Federación (España)
Mexico,Desconocida
Miedź Legnica,Polish I liga
Mirandés,Primera Federación (1ª RFEF)
Moreirense,Primeira Liga
Muaither,Qatar QSL Cup
Málaga,Primera Federación (1ª RFEF)
Mérida AD,Primera Federación (1ª RFEF)
Nea Salamis,Cypriot Second Division
Numancia,Primera Federación (1ª RFEF)
Olympiacos Piraeus B,Greek Superleague Greece
Orihuela,Segunda Federación (2ª RFEF)
Osasuna,LaLiga (España)
Osasuna Promesas,Primera Federación (1ª RFEF)
Ourense CF,Primera Federación (1ª RFEF)
PAOK B,Superleague 2 (Grecia)
Panetolikos FC,Greek Superleague Greece
Penafiel,LigaPro
Philadelphia Union II,MLS Next Pro
Ponferradina,Primera Federación (1ª RFEF)
Pontevedra,Primera Federación (1ª RFEF)
Porto,Primeira Liga
Pouso Alegre,Brazil Serie D
Racing Ferrol,Primera Federación (1ª RFEF)
Racing Santander,Primera Federación (1ª RFEF)
Rayo Majadahonda,Primera Federación (1ª RFEF)
Rayo Vallecano,LaLiga (España)
Real Avilés,Primera Federación (1ª RFEF)
Real Balompédica Linense,Primera Federación (1ª RFEF)
Real Betis,LaLiga (España)
Real Madrid,LaLiga (España)
Real Madrid C,Primera Federación (1ª RFEF)
Real Madrid Castilla,Primera Federación (1ª RFEF)
Real Madrid U21,Categoría juvenil (no liga senior)
Real Murcia,Primera Federación (1ª RFEF)
Real Oviedo,LaLiga 2 (España)
Real Sociedad,LaLiga (España)
Real Sociedad B,Primera Federación (1ª RFEF)
Real Sociedad III,Tercera Federación (España)
Real Valladolid,LaLiga 2 (España)
Real Ávila,Segunda Federación (2ª RFEF)
Recreativo Granada,Primera Federación (1ª RFEF)
Recreativo Huelva,Primera Federación (1ª RFEF)
Sabadell,Primera Federación (1ª RFEF)
Salamanca CF UDS,Segunda Federación (2ª RFEF)
Sant Andreu,Primera Federación (1ª RFEF)
Seoul Jungnang,South Korean K4 League
Sevilla,LaLiga (España)
Sevilla Atlético,Primera Federación (1ª RFEF)
Slovan Bratislava,Slovak First Football League
Sporting Braga,Primeira Liga
Sporting CP,Primeira Liga
Sporting Gijón,Tercera Federación (España)
Talavera CF,Primera Federación (1ª RFEF)
Tarazona,Primera Federación (1ª RFEF)
Tenerife,Primera Federación (1ª RFEF)
Teruel,Primera Federación (1ª RFEF)
Tondela,LigaPro
Torreense,LigaPro
Tudelano,Segunda Federación (2ª RFEF)
UCAM Murcia,Primera Federación (1ª RFEF)
UD Logroñés,Primera Federación (1ª RFEF)
Unionistas de Salamanca,Primera Federación (1ª RFEF)
Unión Malacitano,Segunda Federación (2ª RFEF)
Utrecht,Dutch Eredivisie
Valencia Mestalla,Segunda Federación (2ª RFEF)
Valencia U21,Categoría juvenil (no liga senior)
Vanspor FK,Turkish 1 Lig
Venezia,Italian Serie A
Viborg,Danish Superliga
Villarreal B,Primera Federación (1ª RFEF)
Villarreal C,Tercera Federación (España)
Vitória,Brazilian Serie A
Vitória Guimarães,Primeira Liga
Vizela,LigaPro
Widzew Łódź,Polish Ekstraklasa
Wisła Płock,I liga (Polonia)
Ypsonas,Cypriot First Division
Zamora,Primera Federación (1ª RFEF)
